WHO_LABEL,pango_lineage,TYPE,update_date
Alpha,B.1.1.7,VOI,5/5/2022
Alpha,Q.1,VOI,5/5/2022
Alpha,Q.2,VOI,5/5/2022
Alpha,Q.3,VOI,5/5/2022
Alpha,Q.4,VOI,5/5/2022
Beta,B.1.351,VOI,5/5/2022
Gamma,P.1,VOI,5/5/2022
Delta,B.1.617.2,VOC,5/5/2022
Delta,AY.1,VOC,5/5/2022
Delta,AY.2,VOC,5/5/2022
Delta,AY.3,VOC,5/5/2022
Delta,AY.3.1,VOC,5/5/2022
Delta,AY.4,VOC,5/5/2022
Delta,AY.4.1,VOC,5/5/2022
Delta,AY.4.2,VOC,5/5/2022
Delta,AY.4.2.1,VOC,5/5/2022
Delta,AY.4.2.2,VOC,5/5/2022
Delta,AY.4.2.3,VOC,5/5/2022
Delta,AY.4.3,VOC,5/5/2022
Delta,AY.4.4,VOC,5/5/2022
Delta,AY.4.5,VOC,5/5/2022
Delta,AY.4.6,VOC,5/5/2022
Delta,AY.5,VOC,5/5/2022
Delta,AY.5.1,VOC,5/5/2022
Delta,AY.5.2,VOC,5/5/2022
Delta,AY.5.3,VOC,5/5/2022
Delta,AY.5.4,VOC,5/5/2022
Delta,AY.6,VOC,5/5/2022
Delta,AY.7,VOC,5/5/2022
Delta,AY.7.1,VOC,5/5/2022
Delta,AY.7.2,VOC,5/5/2022
Delta,AY.8,VOC,5/5/2022
Delta,AY.9,VOC,5/5/2022
Delta,AY.9.2,VOC,5/5/2022
Delta,AY.9.2.1,VOC,5/5/2022
Delta,AY.10,VOC,5/5/2022
Delta,AY.11,VOC,5/5/2022
Delta,AY.13,VOC,5/5/2022
Delta,AY.14,VOC,5/5/2022
Delta,AY.15,VOC,5/5/2022
Delta,AY.16,VOC,5/5/2022
Delta,AY.16.1,VOC,5/5/2022
Delta,AY.17,VOC,5/5/2022
Delta,AY.18,VOC,5/5/2022
Delta,AY.19,VOC,5/5/2022
Delta,AY.20,VOC,5/5/2022
Delta,AY.20.1,VOC,5/5/2022
Delta,AY.21,VOC,5/5/2022
Delta,AY.22,VOC,5/5/2022
Delta,AY.23,VOC,5/5/2022
Delta,AY.23.1,VOC,5/5/2022
Delta,AY.23.2,VOC,5/5/2022
Delta,AY.24,VOC,5/5/2022
Delta,AY.25,VOC,5/5/2022
Delta,AY.25.1,VOC,5/5/2022
Omicron,B.1.1.529,VOC,5/5/2022
Omicron,BA.1,VOC,5/5/2022
Omicron,BA.2,VOC,5/5/2022
Omicron,BA.3,VOC,5/5/2022
Omicron,BA.4,VOC,5/5/2022
Omicron,BA.5,VOC,5/5/2022
Lambda,C.37,VOI,5/5/2022
Mu,B.1.621,VOI,5/5/2022
Delta,AY.26,VOC,5/5/2022
Delta,AY.27,VOC,5/5/2022
Delta,AY.28,VOC,5/5/2022
Delta,AY.29,VOC,5/5/2022
Delta,AY.29.1,VOC,5/5/2022
Delta,AY.30,VOC,5/5/2022
Delta,AY.31,VOC,5/5/2022
Delta,AY.32,VOC,5/5/2022
Delta,AY.33,VOC,5/5/2022
Delta,AY.34,VOC,5/5/2022
Delta,AY.34.1,VOC,5/5/2022
Delta,AY.34.1.1,VOC,5/5/2022
Delta,AY.34.2,VOC,5/5/2022
Delta,AY.35,VOC,5/5/2022
Delta,AY.36,VOC,5/5/2022
Delta,AY.37,VOC,5/5/2022
Delta,AY.38,VOC,5/5/2022
Delta,AY.39,VOC,5/5/2022
Delta,AY.39.1,VOC,5/5/2022
Delta,AY.39.1.1,VOC,5/5/2022
Delta,AY.39.2,VOC,5/5/2022
Delta,AY.40,VOC,5/5/2022
Delta,AY.41,VOC,5/5/2022
Delta,AY.42,VOC,5/5/2022
Delta,AY.43,VOC,5/5/2022
Delta,AY.43.1,VOC,5/5/2022
Delta,AY.43.2,VOC,5/5/2022
Delta,AY.43.3,VOC,5/5/2022
Delta,AY.43.4,VOC,5/5/2022
Delta,AY.43.5,VOC,5/5/2022
Delta,AY.44,VOC,5/5/2022
Delta,AY.45,VOC,5/5/2022
Delta,AY.46,VOC,5/5/2022
Delta,AY.46.1,VOC,5/5/2022
Delta,AY.46.2,VOC,5/5/2022
Delta,AY.46.3,VOC,5/5/2022
Delta,AY.46.4,VOC,5/5/2022
Delta,AY.46.5,VOC,5/5/2022
Delta,AY.46.6,VOC,5/5/2022
Delta,AY.47,VOC,5/5/2022
Delta,AY.48,VOC,5/5/2022
Delta,AY.49,VOC,5/5/2022
Delta,AY.50,VOC,5/5/2022
Delta,AY.51,VOC,5/5/2022
Delta,AY.52,VOC,5/5/2022
Delta,AY.53,VOC,5/5/2022
Delta,AY.54,VOC,5/5/2022
Delta,AY.55,VOC,5/5/2022
Delta,AY.56,VOC,5/5/2022
Delta,AY.57,VOC,5/5/2022
Delta,AY.58,VOC,5/5/2022
Delta,AY.59,VOC,5/5/2022
Delta,AY.60,VOC,5/5/2022
Delta,AY.61,VOC,5/5/2022
Delta,AY.62,VOC,5/5/2022
Delta,AY.63,VOC,5/5/2022
Delta,AY.64,VOC,5/5/2022
Delta,AY.65,VOC,5/5/2022
Delta,AY.66,VOC,5/5/2022
Delta,AY.67,VOC,5/5/2022
Delta,AY.68,VOC,5/5/2022
Delta,AY.69,VOC,5/5/2022
